Année,Durée en mois,Montant
2011,36.0,348479.0
2011,48.0,379973.0
2011,36.0,550000.0
2011,48.0,350000.0
2011,48.0,550000.0
2011,36.0,350000.0
2011,36.0,350000.0
2011,48.0,764217.0
2011,48.0,798990.0
2011,36.0,420000.0
2011,36.0,549968.0
2011,42.0,549939.0
2011,24.0,750000.0
2011,36.0,450000.0
2011,48.0,800000.0
2011,24.0,197035.0
2011,36.0,734896.0
2011,36.0,216000.0
2011,42.0,837982.0
2011,36.0,999677.0
2011,46.0,802183.0
2011,36.0,240000.0
2011,36.0,409637.0
2011,36.0,200000.0
2011,24.0,299781.0
2011,24.0,256260.0
2011,24.0,260000.0
2011,18.0,271671.0
2011,24.0,288152.0
2011,24.0,296633.0
2011,24.0,280228.0
2011,24.0,206232.0
2011,24.0,249548.0
2011,24.0,294840.0
2011,36.0,136000.0
2011,36.0,270000.0
2011,36.0,339986.0
2011,36.0,100000.0
2011,36.0,149362.0
2011,36.0,149989.0
2011,36.0,209947.0
2011,36.0,239999.0
2011,24.0,170000.0
2011,36.0,250000.0
2011,36.0,646391.0
2011,36.0,848340.0
2011,36.0,143223.0
2011,36.0,206519.0
2011,42.0,231238.0
2011,36.0,200081.0
2011,36.0,270767.0
2011,36.0,211702.0
2011,36.0,292240.0
2011,36.0,198120.0
2011,36.0,195655.0
2011,36.0,265200.0
2011,36.0,352620.0
2011,36.0,128128.0
2011,36.0,231649.0
2011,36.0,299260.0
2011,36.0,300976.0
2011,36.0,516706.0
2011,18.0,99117.0
2011,48.0,80000.0
2011,48.0,60000.0
2011,36.0,111142.0
2011,36.0,87618.0
2011,48.0,217513.0
2011,42.0,157568.0
2011,36.0,142160.0
2011,48.0,187270.0
2011,36.0,195560.0
2011,36.0,191300.0
2011,36.0,163800.0
2011,38.0,179494.0
2011,36.0,170040.0
2011,36.0,190892.0
2011,36.0,199997.0
2011,36.0,228996.0
2011,36.0,193575.0
2011,24.0,240000.0
2011,48.0,230000.0
2011,36.0,160000.0
2011,36.0,196768.0
2011,36.0,232155.0
2011,36.0,165364.0
2011,36.0,210750.0
2011,48.0,180000.0
2011,48.0,193198.0
2011,36.0,119870.0
2011,36.0,169941.0
2011,36.0,130000.0
2011,48.0,250000.0
2011,42.0,230189.0
2011,48.0,297949.0
2011,36.0,210300.0
2011,36.0,262058.0
2011,36.0,263973.0
2011,48.0,258853.0
2011,36.0,400000.0
2011,48.0,520000.0
2011,48.0,499470.0
2011,36.0,300000.0
2011,36.0,259800.0
2011,48.0,450000.0
2011,36.0,398796.0
2011,48.0,730210.0
2011,36.0,428969.0
2011,36.0,499172.0
2011,36.0,380000.0
2011,36.0,440000.0
2011,48.0,549884.0
2011,48.0,410000.0
2011,36.0,299328.0
2011,42.0,499935.0
2011,48.0,470000.0
2011,36.0,297400.0
2011,48.0,956660.0
2011,42.0,834605.0
2011,36.0,220000.0
2011,36.0,294934.0
2011,24.0,166400.0
2011,24.0,229789.0
2011,24.0,228571.0
2011,24.0,77468.0
2011,24.0,296011.0
2011,24.0,280800.0
2011,24.0,230872.0
2011,24.0,250005.0
2011,18.0,262596.0
2011,24.0,266909.0
2011,24.0,276122.0
2011,36.0,240000.0
2011,36.0,244979.0
2011,36.0,95500.0
2011,36.0,109980.0
2011,36.0,149978.0
2011,36.0,149999.0
2011,36.0,150000.0
2011,36.0,147732.0
2011,36.0,149945.0
2011,36.0,210000.0
2011,36.0,180000.0
2011,36.0,1091681.0
2011,36.0,1213523.0
2011,44.0,792753.0
2011,36.0,993957.0
2011,48.0,1785757.0
2011,48.0,589774.0
2011,40.0,966214.0
2011,36.0,893969.0
2011,48.0,642740.0
2011,36.0,276702.0
2011,48.0,426055.0
2011,36.0,199990.0
2011,36.0,259991.0
2011,36.0,179677.0
2011,36.0,368644.0
2011,36.0,271320.0
2011,36.0,321017.0
2011,36.0,220783.0
2011,36.0,240426.0
2011,18.0,105642.0
2011,18.0,99701.0
2011,18.0,106544.0
2011,48.0,59981.0
2011,48.0,229644.0
2011,42.0,190245.0
2011,36.0,222000.0
2011,48.0,299520.0
2011,36.0,165984.0
2011,42.0,203999.0
2011,24.0,150000.0
2011,36.0,194449.0
2011,48.0,219457.0
2011,48.0,281456.0
2011,36.0,252907.0
2011,48.0,240000.0
2011,36.0,90996.0
2011,36.0,133120.0
2011,48.0,345000.0
2011,48.0,207734.0
2011,48.0,81000.0
2011,24.0,130079.0
2011,36.0,131930.0
2011,48.0,150000.0
2011,36.0,252716.0
2011,48.0,250000.0
2011,36.0,250000.0
2011,48.0,190000.0
2011,36.0,320000.0
2011,48.0,380000.0
2011,36.0,182000.0
2011,48.0,286000.0
2011,36.0,189956.0
2011,36.0,199982.0
2011,36.0,180000.0
2011,36.0,239998.0
2011,36.0,500000.0
2013,42.0,831247.0
2013,42.0,371604.0
2013,48.0,556095.0
2013,36.0,390000.0
2013,48.0,519993.0
2013,48.0,469872.0
2013,48.0,1240000.0
2013,42.0,1236042.0
2013,42.0,980872.0
2013,42.0,628920.0
2013,36.0,366354.0
2013,42.0,459342.0
2013,42.0,223466.0
2013,42.0,385799.0
2013,42.0,568462.0
2013,36.0,245352.0
2013,36.0,219539.0
2013,36.0,238602.0
2013,36.0,270505.0
2013,36.0,238938.0
2013,48.0,631656.0
2013,42.0,948737.0
2013,42.0,741865.0
2013,42.0,573722.0
2013,36.0,240234.0
2013,36.0,332800.0
2013,36.0,434943.0
2013,36.0,145000.0
2013,36.0,223394.0
2013,24.0,127171.0
2013,36.0,42432.0
2013,36.0,329118.0
2013,36.0,105974.0
2013,48.0,249808.0
2013,48.0,196302.0
2013,42.0,324167.0
2013,42.0,211330.0
2013,42.0,139284.0
2013,42.0,283286.0
2013,42.0,241280.0
2013,48.0,256880.0
2013,48.0,244854.0
2013,42.0,224981.0
2013,42.0,138996.0
2013,42.0,177736.0
2013,48.0,208345.0
2013,42.0,208000.0
2013,42.0,244999.0
2013,24.0,95000.0
2013,48.0,238000.0
2013,42.0,189500.0
2013,42.0,200000.0
2013,42.0,180000.0
2013,48.0,280000.0
2013,48.0,224652.0
2013,48.0,190000.0
2013,36.0,216320.0
2013,42.0,185980.0
2013,42.0,139978.0
2013,36.0,150000.0
2013,36.0,250086.0
2013,42.0,196872.0
2013,42.0,199992.0
2013,36.0,207000.0
2013,36.0,235382.0
2013,36.0,289562.0
2013,36.0,300000.0
2013,36.0,300000.0
2013,36.0,300000.0
2013,36.0,300000.0
2013,36.0,300000.0
2013,42.0,561393.0
2013,42.0,398941.0
2013,42.0,799666.0
2013,36.0,229424.0
2013,42.0,598880.0
2013,42.0,389979.0
2013,42.0,390998.0
2013,42.0,350000.0
2013,36.0,275392.0
2013,42.0,481878.0
2013,30.0,370000.0
2013,42.0,668600.0
2013,42.0,655901.0
2013,42.0,605563.0
2013,48.0,257629.0
2013,36.0,195832.0
2013,48.0,608350.0
2013,42.0,301446.0
2013,48.0,999936.0
2013,36.0,974312.0
2013,42.0,889305.0
2013,42.0,983423.0
2013,30.0,999993.0
2011,48.0,1048854.0
2011,48.0,358418.0
2011,39.0,283795.0
2011,48.0,760407.0
2011,39.0,946874.0
2011,39.0,813493.0
2013,24.0,473903.0
2013,42.0,398362.0
2013,42.0,1196947.0
2013,42.0,815372.0
2013,36.0,350091.0
2013,48.0,1259908.0
2013,42.0,376230.0
2013,48.0,1050821.0
2013,42.0,593307.0
2013,42.0,943588.0
2013,42.0,718657.0
2013,42.0,905660.0
2013,48.0,598344.0
2013,36.0,333702.0
2014,60.0,700000.0
2014,60.0,449996.0
2014,48.0,329991.0
2014,60.0,554771.0
2014,40.0,299000.0
2014,34.0,299558.0
2014,40.0,299520.0
2014,42.0,298688.0
2014,40.0,299078.0
2014,40.0,271965.0
2014,40.0,290839.0
2014,40.0,298964.0
2014,40.0,298188.0
2014,60.0,599784.0
2014,48.0,484979.0
2014,54.0,182639.0
2014,54.0,368063.0
2014,60.0,497142.0
2014,48.0,491608.0
2014,24.0,69116.0
2014,60.0,356061.0
2014,60.0,493985.0
2014,48.0,167741.0
2014,24.0,52000.0
2014,48.0,470605.0
2014,60.0,495414.0
2014,48.0,498368.0
2014,60.0,299257.0
2014,48.0,233978.0
2014,54.0,198640.0
2014,36.0,152360.0
2014,36.0,147599.0
2014,54.0,176941.0
2014,36.0,178640.0
2014,48.0,435760.0
2014,60.0,398840.0
2014,54.0,188290.0
2014,36.0,198909.0
2014,54.0,126880.0
2014,60.0,451480.0
2014,60.0,608000.0
2014,48.0,290000.0
2014,54.0,248285.0
2014,48.0,158220.0
2014,60.0,197162.0
2014,60.0,429994.0
2014,54.0,446095.0
2014,60.0,799995.0
2014,60.0,372399.0
2014,60.0,564910.0
2014,48.0,754118.0
2014,36.0,170925.0
2014,60.0,251460.0
2014,48.0,173330.0
2014,48.0,212160.0
2014,54.0,479200.0
2014,36.0,145523.0
2014,60.0,369774.0
2014,48.0,475946.0
2014,48.0,137552.0
2014,48.0,198640.0
2014,48.0,398307.0
2014,60.0,528867.0
2014,48.0,417993.0
2014,60.0,439689.0
2014,48.0,364065.0
2014,48.0,482971.0
2014,48.0,359840.0
2014,54.0,399880.0
2014,60.0,489857.0
2011,36.0,230000.0
2011,48.0,350000.0
2011,36.0,350000.0
2011,36.0,230000.0
2011,48.0,297931.0
2011,36.0,394014.0
2011,36.0,494548.0
2011,36.0,398178.0
2011,42.0,599873.0
2011,42.0,500000.0
2011,36.0,390000.0
2011,36.0,259386.0
2011,36.0,280000.0
2011,36.0,979863.0
2011,48.0,1084164.0
2011,42.0,567316.0
2011,36.0,218883.0
2011,36.0,299986.0
2011,24.0,298480.0
2011,24.0,243537.0
2011,24.0,296142.0
2011,24.0,249662.0
2011,24.0,231400.0
2011,24.0,248911.0
2011,24.0,239344.0
2011,24.0,204639.0
2011,24.0,272584.0
2011,24.0,251090.0
2011,24.0,400402.0
2011,24.0,347850.0
2011,24.0,313046.0
2011,36.0,160000.0
2011,36.0,215000.0
2011,36.0,295000.0
2011,36.0,195936.0
2011,36.0,379952.0
2011,36.0,149510.0
2011,36.0,180000.0
2011,36.0,1169630.0
2011,36.0,792206.0
2011,44.0,814142.0
2011,36.0,902904.0
2011,36.0,1499033.0
2011,48.0,839867.0
2011,39.0,380297.0
2011,42.0,784193.0
2011,36.0,201760.0
2011,36.0,200140.0
2011,36.0,195517.0
2011,36.0,224640.0
2011,36.0,195000.0
2011,36.0,317960.0
2011,36.0,218400.0
2011,36.0,258244.0
2011,36.0,277496.0
2011,36.0,281994.0
2011,18.0,59800.0
2011,18.0,97550.0
2011,48.0,85000.0
2011,48.0,70000.0
2011,36.0,165360.0
2011,36.0,149760.0
2011,36.0,163280.0
2011,36.0,161549.0
2011,36.0,149692.0
2011,36.0,216984.0
2011,48.0,260000.0
2011,36.0,400483.0
2011,30.0,95305.0
2011,48.0,253600.0
2011,48.0,263000.0
2011,42.0,168430.0
2011,36.0,179649.0
2011,36.0,135000.0
2011,36.0,110000.0
2011,36.0,195000.0
2011,36.0,317000.0
2011,36.0,290000.0
2011,36.0,250000.0
2011,48.0,250000.0
2011,48.0,338578.0
2011,36.0,300000.0
2011,36.0,269880.0
2011,36.0,474949.0
2011,48.0,972388.0
2015,24.0,308505.0
2015,42.0,377454.0
2015,36.0,784318.0
2015,36.0,544650.0
2015,36.0,273399.0
2015,48.0,144023.0
2015,48.0,268580.0
2015,48.0,1599999.0
2015,48.0,601916.0
2015,12.0,409247.0
2015,18.0,615631.0
2015,36.0,360246.0
2015,36.0,349929.0
2011,36.0,234999.0
2011,48.0,239975.0
2011,48.0,260000.0
2011,36.0,249912.0
2011,48.0,435922.0
2011,48.0,293990.0
2011,36.0,501674.0
2011,48.0,637345.0
2011,48.0,723521.0
2006,36.0,500000.0
2006,36.0,350000.0
2006,36.0,460000.0
2006,36.0,450000.0
2006,36.0,320000.0
2006,36.0,300000.0
2006,24.0,120000.0
2006,36.0,400000.0
2006,20.0,272383.0
2006,36.0,1443565.0
2006,48.0,257500.0
2006,36.0,346000.0
2006,36.0,310563.0
2006,36.0,626568.0
2006,36.0,395307.0
2006,24.0,1248582.0
2006,24.0,172716.0
2006,36.0,380328.0
2006,36.0,545696.0
2006,36.0,1020417.0
2006,48.0,280000.0
2006,36.0,360000.0
2006,36.0,320000.0
2006,36.0,320000.0
2006,24.0,240000.0
2006,36.0,280000.0
2006,36.0,300000.0
2006,48.0,240000.0
2006,36.0,280000.0
2006,24.0,470487.0
2006,27.0,655777.0
2006,36.0,2081046.0
2006,24.0,657496.0
2006,18.0,702256.0
2006,24.0,1019608.0
2006,36.0,961214.0
2006,24.0,455510.0
2006,48.0,652583.0
2006,36.0,254000.0
2006,36.0,254000.0
2006,36.0,300000.0
2006,36.0,200000.0
2006,36.0,132000.0
2006,36.0,902994.0
2006,36.0,70000.0
2006,36.0,254519.0
2006,37.0,450315.0
2006,24.0,855424.0
2006,24.0,434175.0
2006,18.0,409607.0
2006,36.0,819077.0
2006,48.0,625990.0
2006,36.0,215228.0
2006,12.0,550735.0
2006,21.0,430640.0
2006,24.0,475352.0
2006,36.0,816092.0
2006,24.0,731340.0
2006,36.0,1277291.0
2006,36.0,541401.0
2006,24.0,370413.0
2006,30.0,753847.0
2006,30.0,480836.0
2006,24.0,413720.0
2007,36.0,435000.0
2007,48.0,450000.0
2007,36.0,280000.0
2007,36.0,445000.0
2007,36.0,347000.0
2007,36.0,220000.0
2007,36.0,250000.0
2007,36.0,258744.0
2007,48.0,300000.0
2007,48.0,188860.0
2007,36.0,115728.0
2007,48.0,476000.0
2007,36.0,386000.0
2007,48.0,859054.0
2007,36.0,865443.0
2007,48.0,400000.0
2007,48.0,346000.0
2007,36.0,150000.0
2007,36.0,687453.0
2007,36.0,150000.0
2007,36.0,149000.0
2007,36.0,140000.0
2007,48.0,197559.0
2007,36.0,120736.0
2007,48.0,150000.0
2007,36.0,90000.0
2007,36.0,150000.0
2011,48.0,839340.0
2012,48.0,729931.0
2012,36.0,293087.0
2012,48.0,994619.0
2012,48.0,219000.0
2012,48.0,219000.0
2012,48.0,219000.0
2013,48.0,447437.0
2013,48.0,469622.0
2013,42.0,277908.0
2013,48.0,458998.0
2013,48.0,359931.0
2013,36.0,298505.0
